time P2O231NTf2_custom_CLPOL P2O231NTf2_LINEAR_custom_CLPOL P2O231TCB_custom_CLPOL P2O231TCB_LINEAR_custom_CLPOL P5551NTf2_custom_CLPOL P5551TCB_custom_CLPOL P2O231TCB_customADCH_CLPOL P2O231TCB_customADCH_CLPOL_CCAAscaled P5551TCB_customADCH_CLPOL P5551TCB_customADCH_CLPOL_CCAAscaled
3000000.0 17.4159 3.19444 3.27967 0.650469 6.1981 1.91797 16.4236 174.288 6.00384 99.397
3001000.0 17.4215 3.19521 3.28055 0.650662 6.1996 1.91846 16.4288 174.345 6.00562 99.4319
3002000.0 17.4271 3.19603 3.28129 0.650776 6.20125 1.91895 16.434 174.402 6.00747 99.4665
3003000.0 17.4326 3.1968 3.2822 0.650838 6.203 1.91931 16.4387 174.459 6.00918 99.5012
3004000.0 17.438 3.19763 3.28316 0.650884 6.20442 1.91955 16.4438 174.516 6.01088 99.5359
3005000.0 17.4435 3.19854 3.2842 0.651072 6.20577 1.91987 16.4489 174.573 6.0122 99.5705
3006000.0 17.449 3.19929 3.28497 0.651172 6.20707 1.92026 16.4541 174.629 6.01345 99.6053
3007000.0 17.4546 3.20015 3.28579 0.651311 6.20832 1.92083 16.4593 174.687 6.01495 99.6397
3008000.0 17.4604 3.20106 3.28674 0.651362 6.2099 1.92127 16.4643 174.744 6.01633 99.6742
3009000.0 17.4661 3.20193 3.28758 0.651613 6.21153 1.92173 16.4694 174.801 6.01781 99.7089
3010000.0 17.4716 3.20275 3.28858 0.651792 6.21334 1.92223 16.4744 174.858 6.01944 99.7439
3011000.0 17.4771 3.20347 3.28932 0.651729 6.21516 1.9225 16.4792 174.916 6.02117 99.7788
3012000.0 17.4823 3.20417 3.29022 0.651917 6.2167 1.92298 16.4841 174.974 6.0229 99.8137
3013000.0 17.4877 3.20497 3.29121 0.652111 6.21835 1.92344 16.4892 175.031 6.0245 99.8487
3014000.0 17.4931 3.20591 3.29217 0.652244 6.2199 1.92388 16.4942 175.089 6.026 99.8839
3015000.0 17.4988 3.20674 3.29322 0.652442 6.22145 1.92438 16.4995 175.146 6.02745 99.9189
3016000.0 17.5044 3.20752 3.29401 0.652421 6.22275 1.92491 16.5047 175.203 6.02903 99.9542
3017000.0 17.5102 3.20832 3.29479 0.652513 6.2242 1.92507 16.5098 175.26 6.03057 99.9895
3018000.0 17.516 3.20916 3.29568 0.652753 6.22551 1.92545 16.515 175.317 6.03202 100.025
3019000.0 17.5216 3.21002 3.29644 0.652754 6.22704 1.92608 16.5202 175.374 6.03388 100.06
3020000.0 17.527 3.21093 3.29711 0.652754 6.22852 1.92671 16.5253 175.432 6.0356 100.095
3021000.0 17.5325 3.21172 3.298 0.652952 6.23003 1.92717 16.5304 175.489 6.03726 100.13
3022000.0 17.5376 3.2125 3.29917 0.653034 6.2315 1.92758 16.5355 175.546 6.03904 100.165
3023000.0 17.5428 3.21328 3.30031 0.653191 6.23313 1.9278 16.5406 175.603 6.04063 100.2
