time P2O231NTf2_custom_CLPOL P2O231NTf2_LINEAR_custom_CLPOL P2O231TCB_custom_CLPOL P2O231TCB_LINEAR_custom_CLPOL P5551NTf2_custom_CLPOL P5551TCB_custom_CLPOL P2O231TCB_customADCH_CLPOL P2O231TCB_customADCH_CLPOL_CCAAscaled P5551TCB_customADCH_CLPOL P5551TCB_customADCH_CLPOL_CCAAscaled
3000000.0 21.1658 3.96695 3.84228 0.975539 7.90746 2.88603 20.9557 191.894 7.71518 100.795
3001000.0 21.1722 3.96812 3.84322 0.97567 7.90928 2.88687 20.962 191.959 7.71711 100.826
3002000.0 21.1783 3.969 3.84404 0.975988 7.91107 2.88747 20.9683 192.023 7.71921 100.857
3003000.0 21.1845 3.97007 3.84489 0.976044 7.91304 2.88806 20.9744 192.088 7.72143 100.888
3004000.0 21.1906 3.97114 3.84579 0.976178 7.91499 2.88857 20.9806 192.153 7.72334 100.92
3005000.0 21.1967 3.97223 3.84646 0.976265 7.91718 2.88913 20.9869 192.217 7.72553 100.952
3006000.0 21.2026 3.9733 3.8474 0.976156 7.91924 2.88989 20.993 192.282 7.72766 100.983
3007000.0 21.2086 3.97423 3.84834 0.976497 7.92125 2.89056 20.9994 192.346 7.72989 101.014
3008000.0 21.2146 3.97518 3.84937 0.976814 7.92304 2.89131 21.0055 192.411 7.7317 101.046
3009000.0 21.2209 3.97614 3.8504 0.97691 7.92489 2.89182 21.0116 192.476 7.73361 101.077
3010000.0 21.2272 3.97715 3.8513 0.977173 7.92671 2.89247 21.0179 192.541 7.73581 101.109
3011000.0 21.2335 3.97829 3.85209 0.977194 7.92862 2.89308 21.0242 192.606 7.73802 101.141
3012000.0 21.2395 3.97946 3.85281 0.977408 7.93072 2.89373 21.0306 192.671 7.74001 101.174
3013000.0 21.2457 3.98057 3.85357 0.97757 7.93265 2.89431 21.0368 192.735 7.74207 101.206
3014000.0 21.2518 3.98167 3.85449 0.977694 7.93472 2.89502 21.0431 192.8 7.74409 101.238
3015000.0 21.2576 3.98267 3.85547 0.977794 7.93657 2.89561 21.0494 192.864 7.74585 101.27
3016000.0 21.2638 3.98361 3.85638 0.977955 7.93868 2.8964 21.056 192.929 7.74783 101.302
3017000.0 21.2701 3.98436 3.85729 0.978122 7.94064 2.89698 21.0621 192.993 7.74996 101.333
3018000.0 21.2764 3.98539 3.85835 0.978328 7.94243 2.89743 21.0679 193.057 7.75201 101.365
3019000.0 21.2828 3.98663 3.8594 0.978446 7.94425 2.89815 21.0742 193.121 7.75402 101.397
3020000.0 21.2891 3.98781 3.8599 0.978462 7.94609 2.89897 21.081 193.185 7.7561 101.429
3021000.0 21.295 3.98888 3.86083 0.978652 7.94808 2.89964 21.0873 193.249 7.75818 101.46
3022000.0 21.301 3.98971 3.86169 0.978909 7.95019 2.90013 21.0936 193.313 7.76027 101.492
3023000.0 21.3072 3.99064 3.86271 0.978924 7.95227 2.90077 21.1 193.377 7.76237 101.524
3024000.0 21.3133 3.9917 3.86381 0.97917 7.95421 2.90162 21.1066 193.441 7.76438 101.555
3025000.0 21.3193 3.99295 3.86468 0.979362 7.95622 2.90248 21.113 193.504 7.76631 101.587
3026000.0 21.3254 3.99392 3.8656 0.979616 7.95809 2.90301 21.1194 193.568 7.76842 101.62
3027000.0 21.3316 3.99509 3.86627 0.979707 7.96001 2.90371 21.1257 193.632 7.77037 101.651
3028000.0 21.3378 3.9961 3.86705 0.979911 7.96207 2.90433 21.132 193.696 7.77234 101.684
3029000.0 21.344 3.99713 3.86795 0.980283 7.96412 2.90479 21.1383 193.759 7.77453 101.716
3030000.0 21.3501 3.99805 3.86896 0.98035 7.96616 2.90542 21.1446 193.823 7.77657 101.748
3031000.0 21.3559 3.99895 3.86989 0.980503 7.96787 2.90626 21.1509 193.887 7.77877 101.78
3032000.0 21.3619 3.99995 3.87097 0.980625 7.96956 2.90703 21.1574 193.951 7.78102 101.812
3033000.0 21.3683 4.00109 3.87183 0.980828 7.97108 2.90762 21.1637 194.015 7.78338 101.844
3034000.0 21.3744 4.002 3.87261 0.980924 7.97286 2.90808 21.17 194.079 7.78529 101.876
3035000.0 21.3808 4.00316 3.87326 0.981226 7.97493 2.90873 21.1762 194.144 7.78728 101.908
3036000.0 21.3868 4.00434 3.87418 0.981308 7.97701 2.90931 21.1821 194.208 7.78926 101.94
3037000.0 21.3928 4.00537 3.87498 0.98136 7.97889 2.90983 21.1883 194.272 7.7914 101.972
3038000.0 21.3987 4.00639 3.87592 0.981557 7.98071 2.91049 21.1947 194.335 7.79351 102.004
3039000.0 21.4048 4.00735 3.87672 0.981634 7.98276 2.91128 21.2007 194.4 7.79573 102.036
3040000.0 21.4109 4.00827 3.8775 0.981815 7.98477 2.91197 21.207 194.464 7.79771 102.069
3041000.0 21.417 4.00937 3.87825 0.98204 7.9865 2.91253 21.2134 194.529 7.7996 102.101
3042000.0 21.4234 4.01045 3.87899 0.982114 7.98819 2.913 21.2199 194.594 7.80174 102.133
3043000.0 21.4299 4.01153 3.87983 0.98221 7.98986 2.91377 21.2263 194.658 7.80374 102.165
3044000.0 21.4361 4.01245 3.88098 0.9822 7.99167 2.91453 21.2326 194.722 7.80589 102.198
3045000.0 21.442 4.01339 3.88211 0.982402 7.99383 2.91528 21.2389 194.785 7.80786 102.231
3046000.0 21.448 4.01434 3.88287 0.982762 7.99597 2.91591 21.245 194.849 7.80999 102.263
3047000.0 21.4539 4.01538 3.88366 0.982993 7.99798 2.91642 21.2513 194.913 7.81195 102.296
3048000.0 21.46 4.01673 3.88461 0.983083 7.99972 2.91718 21.2575 194.978 7.81415 102.328
3049000.0 21.4662 4.01765 3.88523 0.98306 8.00152 2.9178 21.2639 195.042 7.81614 102.361
3050000.0 21.4725 4.01851 3.88608 0.983132 8.00347 2.9183 21.2704 195.106 7.81802 102.393
3051000.0 21.4789 4.01936 3.88698 0.98344 8.00523 2.91877 21.2768 195.171 7.82034 102.426
3052000.0 21.4851 4.02039 3.88768 0.983597 8.00678 2.9195 21.2831 195.235 7.82248 102.458
3053000.0 21.4912 4.02137 3.8885 0.983796 8.00844 2.92042 21.2892 195.299 7.8249 102.49
3054000.0 21.4972 4.02262 3.88946 0.983914 8.01066 2.9211 21.2958 195.363 7.82705 102.523
3055000.0 21.5032 4.02358 3.89027 0.984019 8.01261 2.92191 21.3018 195.427 7.82897 102.555
3056000.0 21.5094 4.02461 3.89104 0.984217 8.0148 2.9227 21.3083 195.492 7.83083 102.587
3057000.0 21.5159 4.02575 3.89206 0.984269 8.01685 2.92341 21.3147 195.555 7.83269 102.619
3058000.0 21.5222 4.0267 3.89299 0.984527 8.01892 2.92376 21.3211 195.619 7.83458 102.651
3059000.0 21.5283 4.02774 3.89399 0.984942 8.02081 2.92423 21.3272 195.683 7.83688 102.683
3060000.0 21.5344 4.02856 3.89474 0.984797 8.02273 2.92489 21.3336 195.747 7.83914 102.715
3061000.0 21.5407 4.02961 3.89576 0.985033 8.02451 2.92563 21.3399 195.811 7.84125 102.748
3062000.0 21.547 4.03052 3.89669 0.984966 8.02642 2.92653 21.3463 195.876 7.84329 102.781
3063000.0 21.5533 4.0317 3.89753 0.98521 8.02823 2.92721 21.3527 195.94 7.84548 102.814
3064000.0 21.5596 4.03263 3.89862 0.985405 8.03009 2.9276 21.3591 196.005 7.84781 102.846
3065000.0 21.5658 4.03359 3.89959 0.985668 8.03224 2.92843 21.3656 196.069 7.85017 102.879
3066000.0 21.572 4.03447 3.90041 0.985856 8.03419 2.92924 21.3719 196.134 7.85225 102.911
3067000.0 21.5784 4.03543 3.9012 0.985805 8.03602 2.92974 21.3782 196.198 7.85453 102.943
3068000.0 21.5848 4.03671 3.9022 0.985993 8.03795 2.93009 21.3846 196.262 7.85632 102.976
3069000.0 21.591 4.03763 3.90332 0.986156 8.03994 2.93077 21.391 196.326 7.85809 103.009
3070000.0 21.5973 4.03864 3.9043 0.986358 8.04217 2.93173 21.3974 196.39 7.85982 103.042
3071000.0 21.6037 4.03974 3.90516 0.986546 8.04407 2.93237 21.4036 196.454 7.86177 103.075
3072000.0 21.61 4.04076 3.90599 0.98666 8.04574 2.93295 21.4097 196.518 7.86383 103.107
3073000.0 21.616 4.04175 3.90699 0.986856 8.0475 2.93347 21.4158 196.582 7.86617 103.14
3074000.0 21.622 4.04294 3.9082 0.98702 8.04928 2.93395 21.4221 196.647 7.86847 103.173
3075000.0 21.6283 4.04387 3.90922 0.98725 8.05107 2.93452 21.4286 196.711 7.87087 103.206
3076000.0 21.6346 4.0449 3.91011 0.987305 8.05309 2.93502 21.4352 196.775 7.87283 103.239
3077000.0 21.6406 4.04605 3.91116 0.987417 8.05501 2.93581 21.4415 196.839 7.8748 103.271
3078000.0 21.6465 4.04712 3.91217 0.987702 8.05711 2.93658 21.4479 196.903 7.87672 103.304
3079000.0 21.6526 4.0484 3.91324 0.987784 8.05906 2.93737 21.4545 196.967 7.87853 103.337
3080000.0 21.6586 4.0493 3.91425 0.987911 8.06119 2.93799 21.4607 197.031 7.88057 103.37
3081000.0 21.6646 4.05038 3.91525 0.987964 8.06293 2.93844 21.4671 197.095 7.88275 103.402
3082000.0 21.6706 4.05135 3.91619 0.988005 8.06467 2.93914 21.4736 197.159 7.88498 103.434
3083000.0 21.6768 4.0524 3.91706 0.988299 8.0666 2.93977 21.48 197.223 7.88718 103.467
3084000.0 21.6831 4.0532 3.91801 0.988575 8.06851 2.94035 21.4862 197.287 7.88928 103.499
3085000.0 21.6895 4.05423 3.91901 0.988643 8.07048 2.94106 21.4927 197.351 7.89143 103.531
3086000.0 21.6959 4.0555 3.92004 0.988837 8.07253 2.94169 21.4992 197.415 7.8932 103.563
3087000.0 21.7024 4.05673 3.921 0.988937 8.07462 2.94248 21.5055 197.479 7.8952 103.595
3088000.0 21.7086 4.05759 3.92173 0.989215 8.07658 2.94325 21.5121 197.543 7.89716 103.627
3089000.0 21.7149 4.05865 3.92256 0.989303 8.07841 2.94387 21.5183 197.608 7.89924 103.66
3090000.0 21.7211 4.05952 3.92338 0.989406 8.08038 2.94459 21.5245 197.672 7.90145 103.692
3091000.0 21.7272 4.06038 3.92449 0.989545 8.08224 2.94513 21.5306 197.736 7.90384 103.724
3092000.0 21.7332 4.06142 3.92541 0.989657 8.084 2.94579 21.537 197.8 7.90569 103.756
3093000.0 21.7392 4.06252 3.92631 0.989826 8.08581 2.9464 21.5433 197.864 7.90795 103.788
3094000.0 21.7453 4.06348 3.92729 0.989904 8.08777 2.94705 21.5498 197.928 7.90989 103.82
3095000.0 21.7515 4.06428 3.92832 0.990138 8.08977 2.94768 21.5562 197.992 7.91193 103.852
3096000.0 21.758 4.06512 3.92916 0.990348 8.09192 2.94844 21.5626 198.055 7.91413 103.884
3097000.0 21.7644 4.06625 3.93008 0.990527 8.09415 2.94918 21.569 198.119 7.91638 103.916
3098000.0 21.7707 4.06715 3.93091 0.990662 8.09604 2.94955 21.5752 198.183 7.91872 103.948
3099000.0 21.7772 4.06811 3.93183 0.990912 8.09776 2.95033 21.5814 198.247 7.92116 103.98
3100000.0 21.7834 4.06907 3.93287 0.991028 8.09962 2.95103 21.5878 198.311 7.92348 104.012
3101000.0 21.7896 4.07039 3.9342 0.991001 8.10146 2.95161 21.594 198.374 7.92572 104.045
3102000.0 21.7958 4.07151 3.9351 0.991272 8.10317 2.95241 21.6005 198.438 7.92753 104.077
3103000.0 21.802 4.07256 3.93601 0.991275 8.10493 2.95299 21.6067 198.502 7.92964 104.11
3104000.0 21.8081 4.07357 3.93674 0.991446 8.10704 2.95383 21.6132 198.566 7.93144 104.142
3105000.0 21.8143 4.07441 3.93755 0.991808 8.10902 2.95435 21.6197 198.63 7.93355 104.174
3106000.0 21.8203 4.07529 3.9386 0.99223 8.11113 2.95486 21.6261 198.694 7.93585 104.206
3107000.0 21.8264 4.07612 3.93961 0.992197 8.11314 2.95552 21.6325 198.759 7.93829 104.238
3108000.0 21.8327 4.07717 3.94065 0.992054 8.1151 2.95627 21.6388 198.823 7.94068 104.271
3109000.0 21.8389 4.078 3.94155 0.992181 8.11721 2.95721 21.6451 198.887 7.94283 104.303
3110000.0 21.8453 4.07891 3.94249 0.992489 8.11906 2.95796 21.6516 198.952 7.94497 104.335
3111000.0 21.8518 4.07998 3.94324 0.992819 8.12095 2.95863 21.658 199.016 7.94686 104.367
3112000.0 21.8581 4.08121 3.94394 0.993022 8.12263 2.95938 21.6643 199.08 7.94893 104.399
3113000.0 21.8645 4.08212 3.94504 0.993062 8.12448 2.96001 21.6706 199.145 7.95104 104.432
3114000.0 21.8707 4.08291 3.94606 0.993075 8.12628 2.96065 21.677 199.209 7.95329 104.464
3115000.0 21.8772 4.084 3.94695 0.993442 8.12816 2.96133 21.6836 199.274 7.95581 104.496
3116000.0 21.8838 4.08489 3.94814 0.993619 8.12993 2.9621 21.6903 199.339 7.9582 104.529
3117000.0 21.8902 4.0859 3.94906 0.993851 8.13176 2.96277 21.6968 199.404 7.96055 104.561
3118000.0 21.8966 4.08702 3.95004 0.994014 8.13354 2.9635 21.7029 199.469 7.96272 104.594
3119000.0 21.9027 4.08787 3.95079 0.99422 8.13545 2.96434 21.7093 199.534 7.96468 104.626
3120000.0 21.9091 4.08894 3.95179 0.994218 8.13734 2.96489 21.7156 199.599 7.9671 104.659
3121000.0 21.9153 4.08987 3.95283 0.994362 8.13919 2.96559 21.7218 199.663 7.9692 104.691
3122000.0 21.9217 4.09078 3.95378 0.994554 8.14093 2.96629 21.7284 199.729 7.97159 104.724
3123000.0 21.928 4.09182 3.95472 0.994718 8.14283 2.96709 21.7347 199.794 7.97391 104.757
3124000.0 21.9342 4.09259 3.95555 0.994908 8.14465 2.96799 21.741 199.859 7.9759 104.79
3125000.0 21.9405 4.09339 3.95657 0.995083 8.14654 2.96843 21.7475 199.924 7.97823 104.823
3126000.0 21.947 4.09442 3.95749 0.995185 8.14863 2.96908 21.7538 199.988 7.98047 104.856
3127000.0 21.9533 4.09527 3.95839 0.995373 8.15052 2.96943 21.7599 200.053 7.98253 104.889
3128000.0 21.9595 4.09612 3.95936 0.995453 8.15245 2.97007 21.7663 200.118 7.98483 104.921
3129000.0 21.9658 4.09705 3.96045 0.995625 8.15455 2.97098 21.7729 200.184 7.98717 104.954
3130000.0 21.9718 4.09791 3.96147 0.995669 8.15645 2.97175 21.7794 200.248 7.98949 104.987
3131000.0 21.978 4.09869 3.96247 0.995707 8.15848 2.9725 21.7858 200.313 7.99139 105.02
3132000.0 21.9843 4.09952 3.96322 0.995874 8.16029 2.97326 21.7921 200.377 7.9936 105.053
3133000.0 21.9906 4.10055 3.96412 0.996153 8.16188 2.97379 21.7984 200.442 7.99599 105.086
3134000.0 21.9969 4.10152 3.96525 0.996175 8.16397 2.97441 21.8048 200.507 7.9982 105.118
3135000.0 22.0031 4.10235 3.96612 0.996284 8.16591 2.97479 21.811 200.572 8.00028 105.151
3136000.0 22.0097 4.10338 3.96701 0.996322 8.16777 2.9754 21.8176 200.636 8.00267 105.184
3137000.0 22.016 4.1042 3.96796 0.996555 8.16959 2.97614 21.8237 200.7 8.00486 105.216
3138000.0 22.0223 4.10531 3.96895 0.996666 8.17142 2.97714 21.8302 200.765 8.00732 105.248
3139000.0 22.0288 4.10634 3.96977 0.997122 8.17345 2.97765 21.8368 200.83 8.00942 105.28
3140000.0 22.0352 4.10723 3.97055 0.99716 8.17549 2.9783 21.8429 200.895 8.01168 105.313
3141000.0 22.0415 4.10803 3.97171 0.997311 8.17748 2.97888 21.8493 200.959 8.01384 105.345
3142000.0 22.0478 4.10887 3.97279 0.997283 8.17957 2.97958 21.8555 201.024 8.01594 105.377
3143000.0 22.0542 4.10974 3.97373 0.997518 8.18152 2.98033 21.8616 201.089 8.01825 105.41
3144000.0 22.0606 4.11089 3.97462 0.997789 8.1835 2.98097 21.868 201.153 8.02059 105.442
3145000.0 22.0672 4.1119 3.97575 0.997895 8.18566 2.98161 21.8745 201.217 8.02277 105.474
