time P2O231NTf2_custom_CLPOL P2O231NTf2_LINEAR_custom_CLPOL P2O231TCB_custom_CLPOL P2O231TCB_LINEAR_custom_CLPOL P5551NTf2_custom_CLPOL P5551TCB_custom_CLPOL P2O231TCB_customADCH_CLPOL P2O231TCB_customADCH_CLPOL_CCAAscaled P5551TCB_customADCH_CLPOL P5551TCB_customADCH_CLPOL_CCAAscaled
3000000.0 21.3678 3.90688 3.8214 1.06628 7.83399 2.83187 20.4982 189.997 8.02136 100.609
3001000.0 21.3744 3.90799 3.82231 1.06641 7.83587 2.83253 20.5047 190.061 8.02345 100.64
3002000.0 21.3811 3.90884 3.82331 1.06648 7.83787 2.83295 20.5113 190.125 8.02556 100.672
3003000.0 21.3875 3.90976 3.82431 1.06655 7.83992 2.83333 20.518 190.189 8.02775 100.703
3004000.0 21.3943 3.91069 3.82531 1.06679 7.84211 2.83415 20.5244 190.254 8.02971 100.734
3005000.0 21.4012 3.91175 3.82634 1.06704 7.84422 2.83493 20.531 190.318 8.03171 100.765
3006000.0 21.4079 3.91268 3.82747 1.06747 7.84634 2.83559 20.5375 190.382 8.0338 100.797
3007000.0 21.4146 3.91369 3.82838 1.06755 7.84852 2.83629 20.5441 190.447 8.03619 100.828
3008000.0 21.4212 3.91469 3.82934 1.06762 7.85069 2.83702 20.5507 190.511 8.03856 100.859
3009000.0 21.4279 3.91561 3.83008 1.06774 7.85264 2.83791 20.5575 190.575 8.04077 100.891
3010000.0 21.4346 3.91664 3.8311 1.06805 7.85462 2.83845 20.564 190.64 8.04317 100.923
3011000.0 21.4412 3.91764 3.83203 1.06836 7.85684 2.83896 20.5705 190.704 8.04497 100.955
3012000.0 21.4479 3.91865 3.83292 1.06854 7.85914 2.8395 20.577 190.768 8.04687 100.987
3013000.0 21.4545 3.91963 3.83396 1.06869 7.8613 2.84005 20.5834 190.833 8.04931 101.018
3014000.0 21.4609 3.92064 3.83492 1.06889 7.86341 2.84087 20.5902 190.898 8.05166 101.05
3015000.0 21.4674 3.92151 3.83579 1.069 7.86555 2.84184 20.5968 190.962 8.05408 101.082
3016000.0 21.4742 3.92245 3.83672 1.06922 7.8675 2.84249 20.6034 191.027 8.05654 101.113
3017000.0 21.4809 3.92312 3.83783 1.06944 7.86961 2.8431 20.61 191.092 8.05857 101.145
3018000.0 21.4875 3.92413 3.83883 1.06979 7.87172 2.8436 20.6165 191.157 8.06079 101.176
3019000.0 21.4942 3.9253 3.83959 1.06977 7.87381 2.84402 20.6233 191.222 8.06318 101.208
3020000.0 21.5011 3.92643 3.84057 1.06989 7.87581 2.84476 20.6298 191.287 8.06549 101.24
3021000.0 21.5078 3.92749 3.84153 1.0702 7.87786 2.84561 20.6365 191.352 8.06765 101.271
3022000.0 21.5145 3.92838 3.84222 1.0703 7.87998 2.84645 20.6433 191.417 8.06977 101.302
3023000.0 21.5211 3.92926 3.84317 1.0705 7.88204 2.84706 20.6501 191.482 8.0718 101.334
3024000.0 21.5276 3.93018 3.8442 1.07076 7.88429 2.84776 20.657 191.548 8.07398 101.366
3025000.0 21.5342 3.93112 3.84506 1.07094 7.88649 2.84839 20.6636 191.613 8.07617 101.397
3026000.0 21.5408 3.93209 3.84619 1.07117 7.88877 2.84913 20.6702 191.677 8.07868 101.428
3027000.0 21.5474 3.93312 3.84722 1.07132 7.89069 2.84956 20.6765 191.742 8.08115 101.46
3028000.0 21.554 3.93426 3.84812 1.07145 7.89253 2.85015 20.6827 191.806 8.08324 101.491
3029000.0 21.5606 3.93526 3.84898 1.07159 7.89448 2.85115 20.6892 191.871 8.08547 101.523
3030000.0 21.5673 3.93631 3.85006 1.07176 7.8966 2.85185 20.6958 191.936 8.08758 101.554
3031000.0 21.5737 3.93722 3.85104 1.07192 7.89855 2.85249 20.7025 192.001 8.0899 101.585
3032000.0 21.5801 3.93803 3.85204 1.07213 7.90063 2.85296 20.7092 192.066 8.09191 101.616
3033000.0 21.5866 3.9389 3.85298 1.07233 7.90282 2.85343 20.7158 192.131 8.09411 101.647
3034000.0 21.593 3.93992 3.85411 1.0725 7.90501 2.8544 20.7223 192.196 8.09651 101.679
3035000.0 21.5996 3.94104 3.85505 1.07263 7.90693 2.85478 20.7287 192.26 8.09867 101.71
3036000.0 21.6063 3.9419 3.85604 1.07273 7.9089 2.85535 20.7353 192.325 8.10117 101.741
3037000.0 21.6131 3.94271 3.85684 1.07289 7.91099 2.85608 20.742 192.39 8.10377 101.772
3038000.0 21.6196 3.94352 3.85804 1.07308 7.91288 2.85671 20.7485 192.455 8.10618 101.804
3039000.0 21.6262 3.94451 3.85891 1.07327 7.91481 2.85756 20.7552 192.52 8.10842 101.835
3040000.0 21.6327 3.9455 3.85993 1.07364 7.91684 2.85815 20.7617 192.585 8.11026 101.866
3041000.0 21.6392 3.94667 3.86088 1.07372 7.91896 2.85899 20.7682 192.65 8.11204 101.897
3042000.0 21.6457 3.94763 3.86177 1.0739 7.92114 2.85961 20.7748 192.716 8.11403 101.928
3043000.0 21.6522 3.94829 3.86257 1.07407 7.92317 2.8602 20.7816 192.781 8.11634 101.959
3044000.0 21.6586 3.94926 3.86362 1.07422 7.9252 2.86079 20.7882 192.846 8.11851 101.99
3045000.0 21.665 3.95014 3.86471 1.07436 7.92749 2.86135 20.7945 192.911 8.12095 102.021
3046000.0 21.6716 3.95122 3.86563 1.07473 7.92987 2.86176 20.8008 192.977 8.12343 102.052
3047000.0 21.6784 3.95238 3.86677 1.075 7.93212 2.86253 20.8073 193.042 8.12578 102.083
3048000.0 21.685 3.95335 3.8678 1.07509 7.934 2.86348 20.8136 193.107 8.12809 102.114
3049000.0 21.6916 3.95428 3.86861 1.07523 7.93578 2.86446 20.8203 193.173 8.13025 102.145
3050000.0 21.6982 3.95535 3.86956 1.07536 7.93765 2.86486 20.8271 193.238 8.13255 102.176
3051000.0 21.7047 3.95632 3.87045 1.07568 7.93964 2.86528 20.8337 193.304 8.13514 102.207
3052000.0 21.7115 3.95724 3.8714 1.07591 7.94161 2.86564 20.8405 193.369 8.13734 102.238
3053000.0 21.7183 3.95819 3.87262 1.07616 7.94386 2.86609 20.847 193.435 8.13928 102.269
3054000.0 21.7248 3.95908 3.87371 1.07624 7.94617 2.86693 20.8535 193.501 8.1418 102.3
3055000.0 21.7313 3.96008 3.87462 1.07634 7.94846 2.86794 20.8599 193.566 8.1442 102.331
3056000.0 21.7378 3.96136 3.87567 1.07652 7.95086 2.86873 20.8664 193.631 8.14652 102.363
3057000.0 21.7444 3.96242 3.8764 1.07679 7.95319 2.86935 20.8732 193.696 8.14869 102.394
3058000.0 21.751 3.96357 3.87729 1.07709 7.95535 2.86985 20.8796 193.762 8.1508 102.425
3059000.0 21.7576 3.96452 3.87821 1.07712 7.9572 2.87047 20.8861 193.827 8.15292 102.456
3060000.0 21.7641 3.96517 3.87921 1.07733 7.95924 2.87121 20.8929 193.892 8.15537 102.487
3061000.0 21.7709 3.96596 3.88018 1.07746 7.96146 2.8721 20.8995 193.958 8.15807 102.519
3062000.0 21.7774 3.96674 3.88132 1.07783 7.9635 2.87279 20.9063 194.023 8.16069 102.55
3063000.0 21.7841 3.96782 3.88238 1.07801 7.96565 2.87362 20.913 194.089 8.16269 102.582
3064000.0 21.7907 3.96879 3.88331 1.07822 7.96807 2.87431 20.9198 194.155 8.16501 102.614
3065000.0 21.7972 3.9693 3.88452 1.07832 7.97054 2.87472 20.9264 194.221 8.16713 102.645
