time P2O231NTf2_custom_CLPOL P2O231NTf2_LINEAR_custom_CLPOL P2O231TCB_custom_CLPOL P2O231TCB_LINEAR_custom_CLPOL P5551NTf2_custom_CLPOL P5551TCB_custom_CLPOL P2O231TCB_customADCH_CLPOL P2O231TCB_customADCH_CLPOL_CCAAscaled P5551TCB_customADCH_CLPOL P5551TCB_customADCH_CLPOL_CCAAscaled
3000000.0 53.5514 9.24415 9.55479 1.98676 18.1165 5.89506 48.5754 523.996 17.7426 280.08
3001000.0 53.5681 9.24658 9.55726 1.98715 18.1211 5.89653 48.5906 524.171 17.7474 280.174
3002000.0 53.5849 9.24899 9.55962 1.98748 18.1256 5.89786 48.6059 524.347 17.7524 280.267
3003000.0 53.6013 9.25118 9.56216 1.98752 18.1304 5.89882 48.6204 524.523 17.7574 280.361
3004000.0 53.6178 9.25362 9.5647 1.98772 18.135 5.89985 48.6351 524.699 17.7621 280.455
3005000.0 53.6344 9.2562 9.56721 1.98826 18.1396 5.90101 48.6504 524.875 17.7664 280.548
3006000.0 53.6508 9.25855 9.56976 1.98866 18.1443 5.90236 48.6659 525.051 17.7711 280.642
3007000.0 53.6673 9.26102 9.5723 1.98897 18.1487 5.9038 48.6812 525.227 17.776 280.735
3008000.0 53.6842 9.26351 9.57493 1.98922 18.1532 5.90539 48.6963 525.404 17.7806 280.828
3009000.0 53.7011 9.26595 9.57732 1.9896 18.1577 5.90682 48.7117 525.579 17.7853 280.921
3010000.0 53.7179 9.26834 9.58002 1.99022 18.1625 5.90795 48.7267 525.756 17.7905 281.015
3011000.0 53.7348 9.27068 9.58225 1.99032 18.1673 5.90896 48.7413 525.933 17.7953 281.11
3012000.0 53.7513 9.27298 9.58444 1.99081 18.1719 5.91004 48.7559 526.109 17.8001 281.204
3013000.0 53.768 9.2754 9.58715 1.99128 18.1768 5.91131 48.7712 526.286 17.8048 281.299
3014000.0 53.7843 9.27789 9.58949 1.9916 18.1815 5.91286 48.7863 526.462 17.8097 281.394
3015000.0 53.8009 9.28008 9.59223 1.9919 18.186 5.91438 48.8017 526.638 17.8145 281.488
3016000.0 53.8176 9.2822 9.59453 1.99218 18.1904 5.91584 48.817 526.814 17.8194 281.583
3017000.0 53.8344 9.28437 9.59702 1.99266 18.195 5.9168 48.8318 526.989 17.8243 281.678
3018000.0 53.8514 9.28673 9.59972 1.99327 18.1993 5.91791 48.8467 527.164 17.8289 281.772
3019000.0 53.8684 9.2894 9.60222 1.99328 18.2039 5.91935 48.8617 527.34 17.834 281.866
3020000.0 53.8849 9.29219 9.60441 1.99323 18.2083 5.92091 48.8767 527.515 17.8389 281.96
3021000.0 53.9013 9.29455 9.60682 1.99395 18.2128 5.92232 48.8919 527.691 17.8437 282.054
3022000.0 53.9176 9.29686 9.60943 1.99434 18.2174 5.92367 48.9072 527.866 17.8486 282.149
3023000.0 53.934 9.29888 9.61226 1.99476 18.2223 5.92472 48.9225 528.041 17.8536 282.243
3024000.0 53.9504 9.30132 9.61495 1.99519 18.2272 5.92617 48.938 528.216 17.8581 282.337
3025000.0 53.9667 9.3038 9.61734 1.99532 18.2318 5.92755 48.9532 528.391 17.8627 282.431
3026000.0 53.983 9.3062 9.62003 1.99563 18.2364 5.9289 48.9682 528.567 17.8677 282.526
3027000.0 53.9998 9.30892 9.62212 1.99603 18.2407 5.92982 48.9834 528.742 17.8728 282.62
3028000.0 54.0168 9.31137 9.62463 1.99622 18.2453 5.93088 48.9986 528.917 17.8777 282.714
3029000.0 54.0335 9.31348 9.62726 1.99664 18.2498 5.93219 49.0136 529.092 17.8828 282.808
3030000.0 54.05 9.3158 9.63 1.99703 18.2541 5.93354 49.0287 529.267 17.8876 282.902
