 distance P2O231NTf2_custom_CLPOL distance P2O231NTf2_LINEAR_custom_CLPOL distance P2O231TCB_custom_CLPOL distance P2O231TCB_LINEAR_custom_CLPOL distance P5551NTf2_custom_CLPOL distance P5551TCB_custom_CLPOL
 0.536000013 0.00424725562 0.636499941 0.00414686371 0.636499941 0.00203007436 0.670000017 0.0021793833 0.536000013 0.00450124312 0.569500029 0.00393183576
 0.551999986 0.00398066733 0.655499935 0.00417010486 0.655499935 0.00147238735 0.689999998 0.00159259618 0.551999986 0.00424813107 0.586500049 0.00299389428
 0.568000019 0.00378673128 0.674499929 0.00423973007 0.674499929 0.00106420461 0.709999979 0.00115931709 0.568000019 0.00403915672 0.603500068 0.00229373365
 0.583999991 0.00371769187 0.693499923 0.00435759546 0.693499923 0.000755235669 0.730000019 0.000823298702 0.583999991 0.00392627157 0.620500028 0.00172735564
 0.600000024 0.00366076105 0.712499976 0.00455309311 0.712499976 0.000535617757 0.75 0.000587275368 0.600000024 0.00383262383 0.637500048 0.00130247429
 0.615999997 0.00360636902 0.73149997 0.00485190656 0.73149997 0.000347638852 0.769999981 0.000395781011 0.615999997 0.00380479312 0.654500067 0.000978467055
 0.632000029 0.00366466702 0.750499964 0.00516907824 0.750499964 0.000243737813 0.789999962 0.000276060426 0.632000029 0.00382862007 0.671500087 0.000709730375
 0.648000002 0.0037510884 0.769499958 0.00545490393 0.769499958 0.000164347264 0.810000002 0.000187392972 0.648000002 0.00389101938 0.688500047 0.000511107442
 0.664000034 0.00384649402 0.788499951 0.00593622774 0.788499951 0.000106830601 0.829999983 0.000119037024 0.664000034 0.00400361139 0.705500066 0.000362774939
 0.680000007 0.00405107392 0.807499945 0.00650133612 0.807499945 6.77700518e-05 0.849999964 8.58355561e-05 0.680000007 0.00420955848 0.722500086 0.000260924542
 0.69600004 0.00421659322 0.826499939 0.0070227948 0.826499939 4.25759972e-05 0.870000005 5.14622734e-05 0.69600004 0.00437488267 0.739500046 0.000193447428
 0.712000012 0.00454450725 0.845499933 0.00769922556 0.845499933 2.82212459e-05 0.889999986 3.12484372e-05 0.712000012 0.00464322884 0.756500065 0.000123236066
