distance P2222O2O2NTf2_custom P2222O2O2TCB_custom P2228NTf2_custom P2228TCB_custom P2O231NTf2_custom_CLPOL P2O231NTf2_custom P2O231NTf2_LINEAR_custom_CLPOL P2O231NTf2_LINEAR_custom P2O231TCB_custom_CLPOL P2O231TCB_custom P2O231TCB_LINEAR_custom_CLPOL P2O231TCB_LINEAR_custom P5551NTf2_custom_CLPOL P5551NTf2_custom P5551TCB_custom_CLPOL P5551TCB_custom P2O231TCB_customADCH_CLPOL P2O231TCB_customADCH_CLPOL_CCAAscaled P5551TCB_customADCH_CLPOL P5551TCB_customADCH_CLPOL_CCAAscaled
3.461666667 0.0 3.752544588e-06 0.0006719978572 0.000407903343 0.0 0.0 0.0 1.458310535e-06 0.0 0.0 3.925983764e-06 8.033636596e-05 3.554134438e-06 0.0 5.563843734e-05 9.835107175e-05 0.0 0.0 0.0001087270842 3.897420386e-05
3.565 9.587723495e-06 3.564046758e-05 0.002072864082 0.001865766671 0.0 0.0 3.122931296e-06 1.23671092e-05 0.0 0.0 2.765640727e-05 0.0004480574031 1.119414284e-06 2.917797389e-06 0.0002561431599 0.0005829118907 0.0 0.0 0.000589159734 0.0002233048934
3.668333333 3.240703595e-05 0.0001062782673 0.00606446306 0.005975297104 0.0 0.0 4.253329965e-05 0.0001341254616 0.0 0.0 0.000123821527 0.001989297132 1.75693613e-05 5.712133131e-05 0.0008849389959 0.002137152477 0.0 0.0 0.002402704156 0.001024053979
3.771666667 0.0001503275359 0.0003333542283 0.01560809962 0.01643016986 0.0 0.0 0.0003129826605 0.0008753258129 0.0 4.668055893e-08 0.0004607368291 0.005894893968 0.0001507966503 0.0004298915641 0.002551528737 0.006240580093 0.0 0.0 0.007272953323 0.003592948356
3.875 0.0004276506271 0.0009154500675 0.03372602877 0.03871570762 0.0 0.0 0.001605841995 0.00385942565 0.0 2.012106837e-05 0.001533994366 0.01455775888 0.0008883165868 0.001965296822 0.006155282893 0.01511308696 9.197988082e-07 7.399562341e-07 0.01664907343 0.00938527424
3.978333333 0.00126830162 0.002767775392 0.06413733444 0.08017129153 0.0 3.364746617e-06 0.006120196715 0.0139354476 3.05153717e-06 0.0001020536908 0.003861785741 0.02938211117 0.003869818263 0.007256634478 0.01199555013 0.03122298305 2.515728616e-05 2.968024755e-05 0.03128323713 0.02058382361
4.081666667 0.003094534795 0.006680582823 0.1096792212 0.149015498 1.869450349e-06 3.657085502e-05 0.01815001424 0.0394999256 2.191944012e-05 0.0004103099754 0.008914601926 0.05387030699 0.01273392896 0.02280966242 0.02172982816 0.05683065114 0.000168243204 0.0001530791861 0.05412023858 0.03944156958
4.185 0.007031554359 0.01468268591 0.1712269791 0.2531143006 2.278541586e-05 0.0002649362023 0.04435565698 0.09198329607 0.0001206807174 0.001405372694 0.0190812798 0.08964988603 0.03472711387 0.05860524109 0.03745173747 0.09306455811 0.0005704383237 0.0004945388366 0.08884595403 0.06987329691
4.288333333 0.0137227872 0.02934896222 0.2470571828 0.3985627346 0.0001428147209 0.001037998554 0.09337673141 0.1795602682 0.0003837956053 0.004203349181 0.03808825407 0.1422502337 0.07972002806 0.1245050565 0.06035542038 0.146665777 0.001816818635 0.001704513014 0.1390351309 0.115118216
4.391666667 0.02461384864 0.05519752136 0.3397352001 0.5805352308 0.0007947583441 0.003377511451 0.1725758941 0.303217779 0.001161754217 0.01084838373 0.07140186191 0.2156222039 0.1546482536 0.2323357798 0.09675055015 0.2205034929 0.005301747043 0.005211468019 0.2086671118 0.1803539521
4.495 0.04287236694 0.09506985215 0.4521684178 0.7849407775 0.002810910896 0.009719905935 0.2813561202 0.4657757135 0.003200394426 0.02462386799 0.1235030686 0.3135448452 0.2660088564 0.3804397988 0.1500887166 0.3182897792 0.01290136018 0.0130997972 0.3026684197 0.2727624664
4.598333333 0.0705335173 0.1546000666 0.5914145598 0.9914828303 0.008351559911 0.02536530196 0.4113179633 0.648216118 0.007934331032 0.04998327764 0.1952691525 0.432697268 0.4055772553 0.5605534751 0.2242758713 0.4407701074 0.0270813313 0.02864324058 0.4225037625 0.3885764872
