time P2O231NTf2_custom_CLPOL P2O231NTf2_LINEAR_custom_CLPOL P2O231TCB_custom_CLPOL P2O231TCB_LINEAR_custom_CLPOL P5551NTf2_custom_CLPOL P5551TCB_custom_CLPOL P2O231TCB_customADCH_CLPOL P2O231TCB_customADCH_CLPOL_CCAAscaled P5551TCB_customADCH_CLPOL P5551TCB_customADCH_CLPOL_CCAAscaled
3000000.0 18.0036 3.06551 3.19153 0.674127 5.93798 1.96603 15.4441 178.208 5.8419 92.7237
3001000.0 18.0091 3.06641 3.19238 0.674202 5.93957 1.96639 15.449 178.268 5.84337 92.7539
3002000.0 18.0146 3.06726 3.19327 0.674245 5.94116 1.96668 15.4542 178.328 5.84497 92.7841
3003000.0 18.02 3.06794 3.19422 0.674202 5.9427 1.96693 15.459 178.388 5.84654 92.8144
3004000.0 18.0253 3.06862 3.19503 0.67429 5.94432 1.96751 15.4638 178.448 5.84787 92.8446
3005000.0 18.031 3.06947 3.19586 0.674532 5.94599 1.96793 15.4688 178.508 5.84927 92.8748
3006000.0 18.0366 3.07024 3.19678 0.674903 5.94772 1.96843 15.4739 178.569 5.85097 92.9053
3007000.0 18.0421 3.07109 3.19759 0.674931 5.9492 1.96889 15.4789 178.629 5.85275 92.9358
3008000.0 18.0477 3.07193 3.19836 0.674847 5.95071 1.96949 15.4839 178.689 5.8545 92.9658
3009000.0 18.0533 3.07278 3.19907 0.674956 5.95226 1.96999 15.4892 178.748 5.85623 92.9962
3010000.0 18.0589 3.07354 3.19994 0.67523 5.95379 1.97019 15.4941 178.808 5.85797 93.0266
3011000.0 18.0645 3.0744 3.20073 0.675378 5.95531 1.9706 15.499 178.868 5.85933 93.0571
3012000.0 18.07 3.07517 3.20146 0.675568 5.9569 1.97081 15.5039 178.928 5.8607 93.0876
3013000.0 18.0756 3.07594 3.20233 0.675738 5.95856 1.97123 15.5089 178.988 5.86233 93.1182
3014000.0 18.081 3.0767 3.20307 0.675783 5.9601 1.97188 15.5139 179.048 5.8641 93.1486
3015000.0 18.0863 3.07737 3.20384 0.675808 5.96152 1.97245 15.5188 179.108 5.8659 93.1787
3016000.0 18.0918 3.07807 3.20462 0.675957 5.96299 1.97288 15.5237 179.168 5.86781 93.2089
3017000.0 18.0972 3.07878 3.20554 0.676187 5.96454 1.97324 15.5285 179.227 5.86958 93.2396
3018000.0 18.1028 3.07956 3.20634 0.676399 5.96607 1.97359 15.5334 179.287 5.87114 93.2701
3019000.0 18.1084 3.08049 3.20724 0.676449 5.96764 1.97391 15.5382 179.347 5.87269 93.3004
3020000.0 18.1139 3.08147 3.20816 0.676387 5.96924 1.97438 15.5432 179.407 5.87406 93.3305
3021000.0 18.1195 3.0823 3.20905 0.676624 5.97077 1.97491 15.5483 179.467 5.8756 93.3608
3022000.0 18.1252 3.08306 3.20974 0.676748 5.97229 1.97546 15.5533 179.527 5.87727 93.3912
3023000.0 18.1307 3.08369 3.21065 0.676918 5.97392 1.97577 15.5583 179.586 5.87892 93.4214
3024000.0 18.1361 3.0845 3.21148 0.677178 5.97563 1.97624 15.5633 179.645 5.8804 93.4516
3025000.0 18.1415 3.08527 3.21225 0.677197 5.9772 1.97671 15.5682 179.705 5.88214 93.482
3026000.0 18.147 3.08609 3.21321 0.67734 5.97885 1.97718 15.573 179.766 5.88397 93.512
3027000.0 18.1525 3.0869 3.21403 0.677386 5.98027 1.97749 15.5778 179.826 5.88573 93.5421
3028000.0 18.1582 3.08768 3.21486 0.677392 5.98178 1.97791 15.5828 179.885 5.88744 93.5725
3029000.0 18.1638 3.08843 3.21576 0.677547 5.98314 1.97856 15.5877 179.945 5.8892 93.6027
3030000.0 18.1692 3.08924 3.2164 0.677651 5.98446 1.97916 15.5926 180.006 5.89077 93.6328
3031000.0 18.1746 3.09005 3.21727 0.677766 5.98591 1.97944 15.5977 180.066 5.89236 93.663
3032000.0 18.1799 3.09063 3.21809 0.677974 5.98749 1.97973 15.6029 180.126 5.89395 93.6935
3033000.0 18.1851 3.09135 3.2189 0.677996 5.98914 1.98022 15.6081 180.187 5.89565 93.7237
3034000.0 18.1905 3.09222 3.21982 0.678115 5.99085 1.98063 15.6129 180.247 5.89722 93.7541
